"Company","Product_Type","Production_Year","Greenhouse_Gas_Emissions","Pollutants_Emitted","Water_Consumption","Energy_Consumption","Waste_Generation","Sales_Revenue"
"Zara","Nylon",2021,5276,16,4842,1457,282,456870
"Adidas","Recycled_Poly",2019,2186,20,5547,843,317,427217
"Zara","Wool",2022,2179,11,4466,1476,203,487115
"Forever 21","Synthetic_Blend",2019,3631,12,4788,933,314,465694
"Forever 21","Synthetic_Blend",2020,5172,18,5365,829,205,499764
"Zara","Viscose",2020,3827,22,7073,1164,312,595641
"Nike","Microfiber",2018,4541,14,5571,1113,244,507166
"Urban Outfitters","Microfiber",2020,3711,19,4853,1274,298,526881
"Adidas","Wool",2022,4577,16,4631,996,201,521779
"Urban Outfitters","Viscose",2019,4239,12,5387,1186,170,461065
"Urban Outfitters","Wool",2021,3409,16,5327,977,204,592844
"Nike","Microfiber",2022,4491,25,7068,1139,213,595310
"Forever 21","Linen",2022,3736,11,5700,798,240,478878
"Forever 21","Nylon",2018,5024,25,6686,901,327,541085
"Urban Outfitters","Polyester",2021,3160,9,7862,797,220,560589
"Forever 21","Microfiber",2021,1956,13,5583,1449,220,570428
"Adidas","Nylon",2019,2803,18,5631,901,301,498079
"Adidas","Microfiber",2020,4621,21,4840,895,303,448543
"Urban Outfitters","Recycled_Poly",2022,4262,9,4881,1104,296,488751
"Nike","Viscose",2021,2524,22,5849,1388,156,527923
"Urban Outfitters","Nylon",2019,4666,9,4465,1110,348,484722
"Forever 21","Viscose",2020,2077,11,4797,931,209,491349
"Nike","Tencel",2020,4276,17,7637,859,165,474926
"Nike","Cotton",2018,5285,10,6848,1189,294,595977
"Zara","Linen",2022,2616,15,7771,1256,247,435403
"Zara","Organic_Cotton",2021,2610,11,7238,1207,179,473288
"Adidas","Nylon",2022,4334,9,4554,1010,268,595376
"Zara","Recycled_Poly",2022,2523,18,4376,822,183,559884
"Urban Outfitters","Cotton",2022,2387,16,6269,781,159,587025
"Urban Outfitters","Synthetic_Blend",2022,2710,21,4500,1291,223,464386
"Adidas","Wool",2019,2774,20,5163,749,169,482250
"Zara","Organic_Cotton",2019,4515,10,5683,1311,319,533598
"Nike","Recycled_Poly",2021,4354,11,4008,842,312,515232
"Forever 21","Wool",2020,5344,23,5424,1379,252,474580
"Nike","Organic_Cotton",2022,4226,13,7488,888,264,587287
"Zara","Polyester",2018,5173,22,6217,1313,165,596243
"Adidas","Tencel",2018,2797,20,7564,1375,191,456701
"Adidas","Recycled_Poly",2022,3013,14,4716,1269,189,494424
"Nike","Viscose",2022,4234,10,4005,979,173,430227
"Forever 21","Synthetic_Blend",2021,2748,16,5527,1500,176,450267
"Adidas","Wool",2022,2875,9,7242,1147,224,450843
"Nike","Linen",2022,2135,23,6147,946,157,453456
"Adidas","Synthetic_Blend",2018,4527,13,7222,1480,280,445062
"Nike","Synthetic_Blend",2021,5158,23,5178,1450,310,453788
"Urban Outfitters","Synthetic_Blend",2019,5097,9,5306,1039,291,504715
"Zara","Cotton",2021,2366,18,6407,1265,164,456703
"Adidas","Cotton",2020,5996,9,7140,732,220,440975
"Urban Outfitters","Recycled_Poly",2020,2706,19,5400,952,251,577378
"Forever 21","Synthetic_Blend",2020,3285,16,7474,784,232,587781
"Forever 21","Microfiber",2021,3305,11,5812,861,175,547237
"Nike","Recycled_Poly",2022,2937,13,4108,1009,172,526763
"Adidas","Organic_Cotton",2018,3564,12,7436,936,300,461128
"Adidas","Organic_Cotton",2022,3648,24,6474,1198,171,578257
"Urban Outfitters","Nylon",2021,2997,14,7447,1048,246,597475
"Adidas","Recycled_Poly",2019,2478,21,6666,1342,269,542021
"Forever 21","Nylon",2020,4515,21,5186,1151,337,495481
"Adidas","Linen",2018,2768,18,7870,1475,240,471330
"Forever 21","Nylon",2018,5497,24,5752,1130,332,532200
"Adidas","Polyester",2022,3111,11,7364,1417,315,504188
"Urban Outfitters","Tencel",2018,5132,11,7265,1438,309,435695
"Adidas","Recycled_Poly",2019,2367,12,5600,1189,310,563417
"Urban Outfitters","Polyester",2021,5714,22,4837,1043,212,455516
"Adidas","Cotton",2021,2808,20,6399,859,168,456191
"Urban Outfitters","Wool",2022,4130,25,5505,1124,206,550542
"Adidas","Linen",2020,3812,13,7578,949,329,439175
"Adidas","Recycled_Poly",2020,5382,20,6455,1374,310,551649
"Urban Outfitters","Microfiber",2022,3509,13,7976,1190,343,560344
"Nike","Cotton",2022,2942,10,4386,800,349,492034
"Urban Outfitters","Recycled_Poly",2019,4082,18,6900,1076,180,425683
"Nike","Microfiber",2019,4379,9,7926,1123,298,453977
"Forever 21","Microfiber",2020,4938,19,7517,812,186,596204
"Zara","Microfiber",2019,5464,22,6912,1204,195,576572
"Forever 21","Synthetic_Blend",2018,5559,9,4833,935,316,580160
"Urban Outfitters","Microfiber",2021,1896,21,4807,1116,311,477595
"Adidas","Tencel",2021,3442,9,4462,768,185,459727
"Zara","Cotton",2021,1871,19,6621,1393,214,579013
"Nike","Microfiber",2022,2890,9,6303,1079,257,493382
"Zara","Synthetic_Blend",2020,2358,10,5154,762,219,483436
"Nike","Cotton",2022,2644,17,6109,1361,205,545124
"Urban Outfitters","Tencel",2020,2095,11,7940,1322,159,460571
"Urban Outfitters","Wool",2018,5116,25,6842,1272,315,473531
"Forever 21","Tencel",2019,3431,14,5695,767,271,430927
"Forever 21","Nylon",2022,4648,22,5340,1150,330,459308
"Forever 21","Recycled_Poly",2020,3104,21,5639,1375,186,444710
"Urban Outfitters","Linen",2020,2154,11,6790,1038,288,490171
"Adidas","Tencel",2020,3475,14,7690,1173,195,545564
"Zara","Recycled_Poly",2020,2830,25,5518,1007,259,447917
"Urban Outfitters","Linen",2021,2749,12,7599,1478,278,496674
"Adidas","Organic_Cotton",2019,5738,25,7774,1099,200,420287
"Forever 21","Polyester",2018,5425,11,4599,774,162,457108
"Forever 21","Wool",2021,3721,15,5177,1497,218,424214
"Zara","Viscose",2020,3047,14,7834,988,185,596806
"Urban Outfitters","Wool",2020,3407,23,6556,905,327,467788
"Adidas","Nylon",2022,2422,17,4998,1338,330,423482
"Zara","Organic_Cotton",2021,2736,11,7718,1036,159,445213
"Urban Outfitters","Tencel",2019,3607,19,5183,1219,278,474268
"Nike","Linen",2018,3331,12,5161,1284,253,543730
"Forever 21","Nylon",2020,4949,16,7974,1427,279,528309
"Adidas","Synthetic_Blend",2018,2122,10,6822,1452,322,592445
"Adidas","Polyester",2022,5004,10,4353,1011,320,518825
"Forever 21","Polyester",2022,3723,11,6265,1154,283,449873
"Urban Outfitters","Polyester",2020,3604,11,7392,790,159,511449
"Forever 21","Cotton",2019,1868,22,6036,907,304,537405
"Forever 21","Tencel",2020,2942,12,6284,1298,181,500851
"Urban Outfitters","Tencel",2022,1891,15,5833,1359,251,442446
"Adidas","Organic_Cotton",2022,2669,13,5324,1049,309,544943
"Nike","Polyester",2022,3339,20,7930,1459,286,426458
"Nike","Linen",2022,3343,11,7905,842,301,512400
"Urban Outfitters","Polyester",2018,4757,10,4017,1435,304,468138
"Urban Outfitters","Wool",2019,1962,13,7327,967,194,520897
"Urban Outfitters","Recycled_Poly",2020,5496,20,4979,1180,338,586476
"Zara","Microfiber",2022,5838,15,5482,1361,227,486362
"Adidas","Microfiber",2021,3568,22,5604,1006,282,502100
"Adidas","Recycled_Poly",2018,5574,24,5494,1237,270,421199
"Forever 21","Viscose",2020,3796,14,7166,1366,254,579929
"Zara","Organic_Cotton",2018,3232,17,5642,1174,192,422147
"Forever 21","Polyester",2021,5460,16,7746,1456,275,457192
"Urban Outfitters","Recycled_Poly",2020,4676,12,5451,739,323,454774
"Zara","Synthetic_Blend",2020,1989,14,7929,1275,174,501697
"Zara","Recycled_Poly",2019,4688,9,5125,870,252,513839
"Zara","Viscose",2018,3701,19,4384,780,272,594473
"Urban Outfitters","Recycled_Poly",2021,3327,12,5702,1166,201,484867
"Urban Outfitters","Synthetic_Blend",2021,2582,13,7464,788,320,503220
"Urban Outfitters","Organic_Cotton",2021,3166,22,5054,803,194,531231
"Zara","Tencel",2020,2770,25,7996,1370,263,522827
"Urban Outfitters","Cotton",2018,3724,19,7890,775,261,549517
"Nike","Cotton",2022,2115,18,6056,1052,173,592378
"Nike","Wool",2019,2268,13,5512,1322,212,525051
"Nike","Organic_Cotton",2018,2985,14,7217,1439,210,448066
"Nike","Viscose",2022,2463,20,7536,901,164,486662
"Nike","Polyester",2019,4390,25,5637,1163,344,523966
"Nike","Microfiber",2021,4650,18,6561,770,287,458324
"Adidas","Microfiber",2022,5936,12,4182,777,212,564037
"Adidas","Cotton",2020,4874,10,4411,1258,229,461859
"Adidas","Polyester",2018,3725,14,5481,941,194,428264
"Urban Outfitters","Cotton",2021,1874,16,6201,1278,323,594998
"Zara","Wool",2021,3811,21,6458,712,269,553767
"Forever 21","Synthetic_Blend",2021,5309,24,4754,747,160,426064
"Nike","Recycled_Poly",2018,3905,12,7197,751,271,422316
"Urban Outfitters","Nylon",2021,3777,17,6296,1073,157,591497
"Urban Outfitters","Linen",2018,5904,25,5700,1468,186,531583
"Urban Outfitters","Tencel",2019,2006,20,5488,1206,203,540262
"Adidas","Wool",2020,4919,11,5236,1004,250,519945
"Nike","Recycled_Poly",2020,5989,16,4461,1315,251,559425
"Urban Outfitters","Tencel",2022,3695,9,4115,984,288,477642
"Urban Outfitters","Wool",2022,3666,21,6985,932,326,440645
"Nike","Viscose",2019,2987,12,6708,1359,192,546498
"Urban Outfitters","Tencel",2022,3864,24,7663,991,298,581035
"Zara","Nylon",2020,5152,19,5710,1064,282,444882
"Forever 21","Viscose",2022,2635,9,5772,778,276,475380
"Nike","Microfiber",2019,2575,22,4819,796,193,576336
"Urban Outfitters","Viscose",2020,5162,15,5998,1274,279,438620
"Zara","Viscose",2019,2238,21,6172,870,328,432415
"Urban Outfitters","Viscose",2022,4498,17,6369,737,343,431903
"Nike","Viscose",2018,3787,24,6754,867,303,513652
"Nike","Organic_Cotton",2022,4527,25,4921,1049,327,530388
"Zara","Tencel",2021,3710,17,5466,964,175,474502
"Forever 21","Synthetic_Blend",2020,3714,12,5285,1098,205,433820
"Forever 21","Polyester",2022,5311,18,5484,1293,287,541848
"Adidas","Viscose",2021,3373,22,5854,729,272,455673
"Adidas","Wool",2019,4014,12,6819,1331,284,480170
"Zara","Tencel",2018,4339,18,5099,872,225,564899
"Forever 21","Microfiber",2018,4555,22,5122,708,306,570983
"Nike","Nylon",2020,5854,20,4788,1335,288,582540
"Nike","Nylon",2022,2257,25,7724,883,248,439947
"Zara","Polyester",2019,4407,21,5308,1331,218,467510
"Urban Outfitters","Viscose",2021,3219,14,6334,1055,209,480742
"Forever 21","Microfiber",2018,3848,11,7419,766,310,562020
"Nike","Microfiber",2019,3451,18,6762,1229,287,578468
"Urban Outfitters","Microfiber",2022,3884,10,6079,1145,348,514888
"Nike","Organic_Cotton",2018,5484,17,4836,1048,155,571419
"Zara","Linen",2021,4488,10,5059,1168,181,564034
"Urban Outfitters","Wool",2018,5349,10,4348,967,309,535425
"Nike","Microfiber",2021,4736,22,5770,1445,233,420013
"Nike","Nylon",2022,5938,22,7865,720,325,445145
"Nike","Viscose",2021,4484,9,7616,984,232,424361
"Nike","Recycled_Poly",2022,5360,11,5931,1419,287,574095
"Adidas","Organic_Cotton",2021,2818,18,7927,734,183,506622
"Zara","Wool",2019,4451,24,5752,1462,194,518668
"Nike","Tencel",2018,5169,16,6118,1362,223,570200
"Adidas","Microfiber",2022,2224,21,4802,1030,281,511958
"Forever 21","Viscose",2021,4531,11,7960,1325,316,474629
"Zara","Synthetic_Blend",2022,4821,13,7713,1425,275,540498
"Urban Outfitters","Nylon",2021,2191,23,7615,925,181,537047
"Forever 21","Viscose",2022,5800,24,5085,1207,347,518129
"Forever 21","Synthetic_Blend",2020,3761,18,7437,1214,332,507630
"Adidas","Viscose",2020,3358,23,7071,1170,214,427208
"Nike","Recycled_Poly",2018,5732,22,5913,1063,170,500773
"Forever 21","Synthetic_Blend",2018,5150,20,5631,1065,335,552707
"Urban Outfitters","Organic_Cotton",2019,4601,14,7742,905,323,454113
"Zara","Nylon",2018,3811,18,6395,1471,320,514810
"Urban Outfitters","Tencel",2021,1800,17,6951,1172,337,572974
"Nike","Microfiber",2020,4871,9,6157,1357,308,437773
"Nike","Recycled_Poly",2019,3696,9,6990,884,297,468741
"Urban Outfitters","Microfiber",2020,1942,19,5139,1192,324,483430
"Forever 21","Tencel",2021,3231,13,4274,959,164,512944
"Adidas","Organic_Cotton",2022,3950,18,4422,717,341,596212
"Adidas","Tencel",2021,4505,20,7308,1231,178,518773
"Urban Outfitters","Organic_Cotton",2022,3256,15,6203,910,174,574034
"Zara","Synthetic_Blend",2021,3348,17,4520,1420,305,465363
"Forever 21","Nylon",2019,2318,25,5287,858,270,470644
"Nike","Nylon",2018,4222,21,4360,901,213,441980
"Nike","Wool",2020,4769,15,7477,755,166,504076
"Forever 21","Nylon",2018,2188,22,5476,1328,290,499450
"Nike","Organic_Cotton",2021,5132,22,4972,1467,228,505337
"Nike","Nylon",2022,3305,12,4579,1116,307,576749
"Urban Outfitters","Organic_Cotton",2021,3196,21,7422,1333,295,519997
"Zara","Polyester",2020,3687,13,6711,1349,312,586081
"Nike","Linen",2019,2886,23,4201,1420,201,461392
"Adidas","Polyester",2018,5595,17,6289,1047,307,549327
"Adidas","Synthetic_Blend",2019,5593,12,4592,1324,239,443166
"Nike","Organic_Cotton",2019,2166,19,6772,1224,314,426047
"Adidas","Wool",2022,5072,9,7301,1089,161,495506
"Forever 21","Polyester",2019,3290,17,4052,1128,350,514008
"Forever 21","Polyester",2020,2483,25,7981,1446,299,552398
"Zara","Cotton",2021,2229,22,6650,831,185,575078
"Zara","Nylon",2018,3385,21,4037,986,273,574434
"Nike","Wool",2021,2452,9,4877,1221,154,474346
"Nike","Nylon",2020,4443,16,6294,872,333,569300
"Nike","Synthetic_Blend",2018,2799,17,5882,1276,337,432525
"Zara","Microfiber",2021,3561,10,7359,1277,234,477950
"Adidas","Wool",2021,5842,9,7308,1269,215,553833
"Forever 21","Microfiber",2022,5190,19,5556,1405,319,459124
"Zara","Nylon",2022,3588,13,5005,1082,203,430940
"Zara","Linen",2020,4623,19,6456,1343,190,551844
"Zara","Viscose",2022,5838,22,5053,1042,207,490312
"Urban Outfitters","Synthetic_Blend",2018,5103,23,6168,1313,259,482280
"Forever 21","Wool",2022,3881,22,6682,1410,162,441708
"Adidas","Viscose",2019,5019,10,6519,1147,274,490077
"Urban Outfitters","Wool",2019,5861,13,4196,1344,235,474056
"Nike","Microfiber",2021,3057,25,5492,1455,160,464751
"Urban Outfitters","Organic_Cotton",2020,2936,11,7744,862,248,467813
"Urban Outfitters","Synthetic_Blend",2019,4837,21,5956,1356,281,489991
"Forever 21","Viscose",2018,5935,11,5868,1194,245,517078
"Nike","Cotton",2018,5318,17,6539,1254,195,556318
"Adidas","Tencel",2020,5698,17,5802,1155,261,511882
"Urban Outfitters","Organic_Cotton",2022,2100,24,4076,1070,233,499427
"Forever 21","Synthetic_Blend",2019,4306,16,7136,1142,287,543404
"Urban Outfitters","Nylon",2020,5163,14,7894,844,335,420700
"Forever 21","Synthetic_Blend",2022,2240,24,5658,1410,211,498239
"Zara","Organic_Cotton",2019,4748,23,5911,827,163,594061
"Zara","Nylon",2018,4528,17,5893,1165,208,495428
"Forever 21","Synthetic_Blend",2019,2387,17,6843,1249,273,454994
"Nike","Wool",2018,3384,22,4686,944,204,591757
"Adidas","Viscose",2021,2625,9,4318,1171,239,581421
"Adidas","Tencel",2020,4370,12,5629,1420,189,448794
"Nike","Viscose",2019,5275,23,5645,1393,213,512521
"Forever 21","Cotton",2020,2499,15,4944,1053,177,470816
"Forever 21","Polyester",2018,4029,15,4193,1318,269,501235
"Adidas","Linen",2020,3657,22,5659,1388,207,502221
"Urban Outfitters","Viscose",2021,5417,11,7894,1411,218,556356
"Zara","Cotton",2018,2222,23,6758,1438,208,515474
"Urban Outfitters","Organic_Cotton",2022,3056,21,7376,725,281,465640
"Adidas","Tencel",2022,4997,22,7846,1297,176,443189
"Adidas","Wool",2019,3406,14,4309,970,310,592405
"Forever 21","Viscose",2019,4529,18,5615,1476,344,503485
"Urban Outfitters","Synthetic_Blend",2020,4892,20,6867,919,196,518247
"Nike","Nylon",2022,4089,24,7846,782,216,520139
"Adidas","Organic_Cotton",2020,2288,12,4455,889,263,464298
"Forever 21","Cotton",2021,1893,15,4006,1220,273,523518
"Nike","Linen",2021,2178,9,5727,1377,320,546659
"Urban Outfitters","Nylon",2022,3743,23,5545,847,339,578256
"Nike","Polyester",2021,5249,24,6822,767,312,529061
"Adidas","Nylon",2021,3006,10,5154,1258,284,555304
"Zara","Cotton",2019,4971,18,6680,1036,252,487293
"Zara","Organic_Cotton",2019,1967,21,7213,956,295,428700
"Forever 21","Linen",2018,3679,18,4535,1044,319,450013
"Forever 21","Linen",2018,2810,11,7020,1082,293,570436
"Forever 21","Polyester",2022,5978,23,5502,982,281,422743
"Adidas","Viscose",2019,3430,20,6233,936,343,551985
"Adidas","Organic_Cotton",2018,2012,14,7008,783,227,432343
"Zara","Recycled_Poly",2022,3803,15,4355,1285,234,516375
"Zara","Recycled_Poly",2020,4929,9,5351,795,250,486419
"Nike","Nylon",2022,5515,21,5873,1175,320,534185
"Zara","Polyester",2021,4092,16,5270,1032,317,573910
"Urban Outfitters","Wool",2019,2455,24,7114,942,161,479676
"Adidas","Recycled_Poly",2020,5242,23,5365,1473,277,489213
"Nike","Linen",2019,2759,11,5410,1096,155,509366
"Nike","Recycled_Poly",2021,2221,23,6434,1498,299,514340
"Forever 21","Synthetic_Blend",2021,5187,12,4430,810,163,546908
"Forever 21","Linen",2021,4312,23,5482,996,322,512037
"Urban Outfitters","Organic_Cotton",2021,3027,25,6315,1166,188,463625
"Urban Outfitters","Wool",2022,3521,18,6076,1045,218,598336
"Urban Outfitters","Polyester",2022,5427,23,7646,1167,262,576275
"Nike","Linen",2018,3480,22,4591,1085,207,550286
"Urban Outfitters","Viscose",2019,5437,11,6744,787,164,534767
"Urban Outfitters","Tencel",2019,4154,15,4671,937,199,599414
"Adidas","Viscose",2020,2540,13,6071,1051,212,546456
"Zara","Synthetic_Blend",2019,4766,20,7944,1018,186,558780
"Zara","Organic_Cotton",2019,5437,22,7113,1009,183,515725
"Nike","Polyester",2021,5275,25,6611,1157,289,524041
"Forever 21","Microfiber",2021,3510,13,6211,1183,294,557490
"Adidas","Synthetic_Blend",2022,4767,22,4711,1290,178,544227
"Adidas","Tencel",2022,5949,9,5929,704,154,504982
"Zara","Polyester",2019,5794,18,5386,1401,170,459338
"Zara","Polyester",2020,5124,22,4539,1177,231,590454
"Nike","Synthetic_Blend",2019,2216,16,7554,1438,251,434523
"Forever 21","Linen",2019,3748,15,5629,1247,331,588889
"Zara","Microfiber",2018,2520,17,5374,1156,302,460246
"Adidas","Recycled_Poly",2021,5776,11,5097,1459,319,559336
"Forever 21","Microfiber",2021,5759,13,4113,1332,183,511854
"Zara","Viscose",2019,2178,12,7474,1275,189,564102
"Nike","Viscose",2019,5704,19,6070,865,301,447037
"Urban Outfitters","Nylon",2020,3150,9,7702,1177,235,540452
"Nike","Nylon",2020,3303,18,6299,1178,210,572783
"Urban Outfitters","Recycled_Poly",2021,2867,20,6462,781,282,562976
"Adidas","Nylon",2019,4260,24,6980,1160,210,589283
"Adidas","Wool",2020,4292,23,6125,1207,192,578230
"Adidas","Tencel",2018,3083,10,7124,931,219,559969
"Zara","Polyester",2022,4151,9,6463,767,257,512887
"Forever 21","Cotton",2018,2492,17,7780,1344,165,446281
"Adidas","Recycled_Poly",2021,4345,11,5059,1203,234,530389
"Adidas","Organic_Cotton",2022,4035,23,7281,1013,191,461396
"Adidas","Synthetic_Blend",2021,3735,21,5328,710,160,473160
"Adidas","Viscose",2022,1930,10,6880,1351,164,533331
"Urban Outfitters","Cotton",2020,4405,17,6697,753,332,494485
"Adidas","Synthetic_Blend",2019,5078,9,5135,1027,204,596126
"Nike","Linen",2019,3832,25,4403,926,213,425162
"Adidas","Cotton",2021,4341,12,7461,883,189,496839
"Urban Outfitters","Synthetic_Blend",2018,4866,15,6926,1169,190,434408
"Adidas","Cotton",2020,2167,19,7751,774,252,432634
"Zara","Synthetic_Blend",2019,3047,18,7876,1049,250,500097
"Nike","Cotton",2022,2091,24,7156,1229,169,573716
"Zara","Cotton",2020,1974,20,6930,1460,207,501280
"Forever 21","Synthetic_Blend",2018,5653,12,5364,1408,277,502328
"Nike","Viscose",2022,4957,25,7312,1067,320,590952
"Urban Outfitters","Nylon",2018,3573,13,5988,1225,284,551291
"Forever 21","Nylon",2022,3496,10,5151,1100,318,450036
"Urban Outfitters","Cotton",2022,2732,22,7960,1220,271,560419
"Nike","Nylon",2022,4693,22,7813,1310,161,511886
"Zara","Wool",2022,4927,19,5639,1476,292,560588
"Urban Outfitters","Recycled_Poly",2018,2719,18,5832,858,311,470634
"Zara","Tencel",2019,2207,21,6472,1154,283,576870
"Forever 21","Wool",2022,4841,12,6627,961,238,494463
"Forever 21","Tencel",2019,5172,23,7652,781,216,521588
"Urban Outfitters","Synthetic_Blend",2022,2089,22,5552,1239,281,529538
"Urban Outfitters","Organic_Cotton",2018,4565,24,7658,803,171,531407
"Nike","Organic_Cotton",2021,2172,20,6739,1322,243,525426
"Adidas","Synthetic_Blend",2019,2532,25,4199,1340,317,535053
"Adidas","Viscose",2019,1933,10,4551,1057,285,510728
"Urban Outfitters","Organic_Cotton",2019,3767,24,6881,1188,273,483426
"Adidas","Polyester",2018,2976,17,6722,758,185,518290
"Forever 21","Polyester",2022,3510,24,5644,1346,267,482102
"Nike","Viscose",2019,1945,24,6832,1431,221,447880
"Urban Outfitters","Viscose",2022,5181,19,5111,1123,343,521577
"Zara","Recycled_Poly",2019,2841,24,6159,1266,225,492197
"Nike","Recycled_Poly",2021,5002,19,7396,1264,222,499363
"Nike","Recycled_Poly",2018,2985,14,7273,965,327,565574
"Adidas","Synthetic_Blend",2022,5018,15,6966,772,212,540976
"Zara","Synthetic_Blend",2022,5558,25,4871,770,155,471886
"Zara","Synthetic_Blend",2020,4992,17,5289,1185,182,459968
"Urban Outfitters","Organic_Cotton",2021,4001,10,5863,1443,218,427162
"Adidas","Cotton",2021,3975,17,6532,1342,298,580808
"Forever 21","Linen",2018,3681,16,6492,809,331,479967
"Urban Outfitters","Viscose",2020,2528,14,7341,1345,253,498763
"Zara","Polyester",2021,1938,16,4687,1136,344,538206
"Nike","Cotton",2018,2172,20,6002,1106,211,442960
"Nike","Cotton",2021,2106,21,7813,995,155,436104
"Forever 21","Tencel",2022,4025,25,5033,1229,167,542499
"Zara","Wool",2019,5120,12,4103,754,266,542823
"Zara","Nylon",2021,5783,16,6678,1192,230,570502
"Nike","Viscose",2019,3454,10,5819,1240,176,449005
"Adidas","Nylon",2020,4147,18,4352,1065,235,575167
"Nike","Wool",2022,5135,19,5532,865,208,568779
"Zara","Linen",2018,3529,16,5475,949,150,434523
"Nike","Viscose",2022,3275,21,6566,1113,239,476214
"Urban Outfitters","Nylon",2022,5712,23,4964,806,266,476742
"Forever 21","Synthetic_Blend",2021,3067,17,6074,1207,333,459907
"Nike","Viscose",2019,2818,24,7757,1323,249,535426
"Adidas","Organic_Cotton",2021,2826,12,7607,1434,181,521864
"Urban Outfitters","Synthetic_Blend",2021,3509,23,4063,804,225,593702
"Nike","Organic_Cotton",2021,1840,16,6454,1434,210,485676
"Adidas","Linen",2018,5036,21,7906,1465,299,459561
"Nike","Organic_Cotton",2019,2248,19,4097,1336,194,522086
"Zara","Wool",2022,5994,13,6683,1482,199,559160
"Nike","Wool",2021,2219,21,5958,830,200,596646
"Urban Outfitters","Wool",2019,5180,20,7970,1024,335,529835
"Zara","Viscose",2019,2835,11,7162,1243,290,455707
"Zara","Linen",2021,2317,16,7393,729,189,469698
"Forever 21","Viscose",2018,5190,23,5779,980,153,483915
"Forever 21","Recycled_Poly",2021,5520,12,4716,1089,304,483019
"Urban Outfitters","Viscose",2020,4428,14,7835,890,230,468499
"Forever 21","Microfiber",2020,3914,18,6800,1232,221,485093
"Forever 21","Wool",2018,4983,14,7194,1193,285,545543
"Urban Outfitters","Polyester",2019,2994,15,5327,1220,226,438995
"Nike","Organic_Cotton",2018,2996,17,6948,1162,218,598831
"Adidas","Viscose",2019,3870,13,6094,1177,207,464900
"Urban Outfitters","Synthetic_Blend",2018,5378,14,6007,1327,328,532690
"Adidas","Wool",2021,4472,11,4643,1339,337,505783
"Nike","Organic_Cotton",2018,1959,9,7919,1072,170,428483
"Nike","Polyester",2019,3490,9,5041,1082,221,486249
"Zara","Polyester",2021,2615,22,5601,970,298,541715
"Urban Outfitters","Wool",2020,3725,20,7773,977,339,435011
"Nike","Linen",2021,3228,19,7056,1392,200,576189
"Adidas","Polyester",2020,4688,22,5814,1028,263,550003
"Forever 21","Viscose",2018,2676,15,7216,1159,301,563720
"Adidas","Polyester",2020,4514,23,5686,846,263,485565
"Forever 21","Viscose",2021,2119,12,7597,1056,318,464010
"Zara","Polyester",2022,3403,17,5878,1143,324,438441
"Zara","Nylon",2019,5725,13,5910,807,312,506077
"Forever 21","Tencel",2021,5998,12,6236,1491,346,487686
"Nike","Synthetic_Blend",2020,5589,17,7561,1017,220,448919
"Nike","Wool",2019,4238,23,7401,1063,295,448606
"Urban Outfitters","Organic_Cotton",2021,2390,21,5953,1238,229,477168
"Nike","Wool",2018,5804,15,4232,1153,316,595616
"Zara","Wool",2021,5614,21,4384,1402,313,470673
"Nike","Wool",2018,1821,24,6080,1247,205,521686
"Forever 21","Recycled_Poly",2019,3362,15,6930,1428,278,504291
"Nike","Polyester",2019,3349,22,6382,1301,304,509146
"Urban Outfitters","Organic_Cotton",2019,3099,23,4974,1021,327,595891
"Nike","Nylon",2020,5490,13,5075,1308,326,434058
"Urban Outfitters","Viscose",2020,2073,16,6909,1065,230,516506
"Nike","Linen",2018,3018,10,4167,1120,179,543276
"Nike","Nylon",2019,5225,18,5087,1069,294,491852
"Forever 21","Nylon",2019,5712,9,7451,1128,233,427776
"Adidas","Wool",2018,4787,21,5212,990,257,566134
"Urban Outfitters","Cotton",2022,2305,17,6778,1120,159,427662
"Forever 21","Polyester",2019,3305,13,4254,1277,263,518179
"Adidas","Polyester",2018,3497,15,5035,1016,306,428693
"Zara","Tencel",2019,3746,16,6409,1452,312,439023
"Zara","Linen",2018,3107,14,7766,1127,160,434589
"Forever 21","Tencel",2021,3164,13,4254,1109,199,459511
"Adidas","Wool",2022,2011,11,4685,1131,297,565072
"Zara","Synthetic_Blend",2020,5207,22,5497,1215,298,504946
"Adidas","Synthetic_Blend",2021,5145,9,7459,1281,256,425099
"Urban Outfitters","Synthetic_Blend",2021,3074,17,7755,1050,195,514840
"Nike","Polyester",2021,1829,17,5706,1025,272,542710
"Nike","Nylon",2021,2019,9,5399,900,276,439538
"Adidas","Synthetic_Blend",2019,4757,16,5528,1388,325,490793
"Zara","Microfiber",2018,2494,11,6526,1269,324,488600
"Zara","Tencel",2021,5780,12,5503,874,160,545708
"Urban Outfitters","Wool",2018,2249,24,7387,992,164,494706
"Nike","Viscose",2021,3139,16,6880,1399,308,466039
"Nike","Wool",2021,4534,16,7555,1313,258,504224
"Forever 21","Linen",2020,3884,14,5419,854,248,593829
"Forever 21","Synthetic_Blend",2019,2260,18,4341,1114,222,449623
"Forever 21","Wool",2022,5464,21,6185,817,340,597224
"Forever 21","Tencel",2018,4053,17,6409,1326,158,555137
"Nike","Linen",2020,3975,19,4109,1278,308,571403
"Adidas","Linen",2022,2695,12,7691,819,173,434877
"Forever 21","Organic_Cotton",2018,3850,22,6774,1134,280,579826
"Forever 21","Wool",2020,3621,14,4312,948,241,571224
